Symbol: 10000000AIDOGEUSDT, Bid 1 Price: 0.003487, Bid 1 Size: 90800, Ask 1 Price: 0.003488, Ask 1 Size: 148200, Last Price: 0.003487, Previous Price 24h: 0.003656, Price Change % 24h: -0.046225, High Price 24h: 0.004446, Low Price 24h: 0.002762, Turnover 24h: 95965750.1041, Volume 24h: 26875704600.0000, USD Index Price: 
Symbol: 1000000BABYDOGEUSDT, Bid 1 Price: 0.0020704, Bid 1 Size: 63200, Ask 1 Price: 0.0020750, Ask 1 Size: 317600, Last Price: 0.0020750, Previous Price 24h: 0.0023888, Price Change % 24h: -0.131363, High Price 24h: 0.0028574, Low Price 24h: 0.0017867, Turnover 24h: 96120194.9983, Volume 24h: 41219794100.0000, USD Index Price: 
Symbol: 1000000CHEEMSUSDT, Bid 1 Price: 0.6414, Bid 1 Size: 156, Ask 1 Price: 0.6426, Ask 1 Size: 156, Last Price: 0.8030, Previous Price 24h: 0.8393, Price Change % 24h: -0.04325, High Price 24h: 0.8393, Low Price 24h: 0.8030, Turnover 24h: 99.5720, Volume 24h: 124.0000, USD Index Price: 
Symbol: 1000000MOGUSDT, Bid 1 Price: 2.6044, Bid 1 Size: 377, Ask 1 Price: 2.6050, Ask 1 Size: 137, Last Price: 2.6043, Previous Price 24h: 2.3064, Price Change % 24h: 0.129162, High Price 24h: 2.9696, Low Price 24h: 1.8715, Turnover 24h: 95993534.6596, Volume 24h: 40032656.0000, USD Index Price: 
Symbol: 1000000PEIPEIUSDT, Bid 1 Price: 0.1331, Bid 1 Size: 2893, Ask 1 Price: 0.1337, Ask 1 Size: 21120, Last Price: 0.1420, Previous Price 24h: 0.1256, Price Change % 24h: 0.130573, High Price 24h: 0.1670, Low Price 24h: 0.0996, Turnover 24h: 94699382.0246, Volume 24h: 725790649.0000, USD Index Price: 
Symbol: 10000COQUSDT, Bid 1 Price: 0.02569, Bid 1 Size: 25740, Ask 1 Price: 0.02570, Ask 1 Size: 17730, Last Price: 0.02569, Previous Price 24h: 0.02389, Price Change % 24h: 0.075345, High Price 24h: 0.03110, Low Price 24h: 0.01848, Turnover 24h: 93494691.5887, Volume 24h: 3836910850.0000, USD Index Price: 
Symbol: 10000LADYSUSDT, Bid 1 Price: 0.0009430, Bid 1 Size: 4516400, Ask 1 Price: 0.0009431, Ask 1 Size: 417900, Last Price: 0.0009430, Previous Price 24h: 0.0010303, Price Change % 24h: -0.084732, High Price 24h: 0.0011886, Low Price 24h: 0.0007731, Turnover 24h: 95069524.3115, Volume 24h: 97603806300.0000, USD Index Price: 
Symbol: 10000SATSUSDT, Bid 1 Price: 0.002576, Bid 1 Size: 637500, Ask 1 Price: 0.002577, Ask 1 Size: 180400, Last Price: 0.002576, Previous Price 24h: 0.002430, Price Change % 24h: 0.060082, High Price 24h: 0.003096, Low Price 24h: 0.001922, Turnover 24h: 96518838.3035, Volume 24h: 39012068700.0000, USD Index Price: 
Symbol: 10000WENUSDT, Bid 1 Price: 1.3613, Bid 1 Size: 969, Ask 1 Price: 1.3614, Ask 1 Size: 293, Last Price: 1.3613, Previous Price 24h: 1.4337, Price Change % 24h: -0.050498, High Price 24h: 1.7537, Low Price 24h: 1.0948, Turnover 24h: 94306079.7281, Volume 24h: 65902563.0000, USD Index Price: 
Symbol: 10000WHYUSDT, Bid 1 Price: 0.001939, Bid 1 Size: 188000, Ask 1 Price: 0.001940, Ask 1 Size: 1886700, Last Price: 0.001940, Previous Price 24h: 0.002200, Price Change % 24h: -0.118181, High Price 24h: 0.002913, Low Price 24h: 0.001563, Turnover 24h: 94728275.5743, Volume 24h: 44810017300.0000, USD Index Price: 
Symbol: 1000APUUSDT, Bid 1 Price: 0.8510, Bid 1 Size: 453, Ask 1 Price: 0.8511, Ask 1 Size: 658, Last Price: 0.8511, Previous Price 24h: 0.7876, Price Change % 24h: 0.080624, High Price 24h: 1.0588, Low Price 24h: 0.6737, Turnover 24h: 97153132.0582, Volume 24h: 114407401.0000, USD Index Price: 
